seed,fold_number,elbo,accuracy,log_prob
0,0,-42368.84335124068,0.5714285714285714,-34.811986384159425
0,1,-42213.23722042027,0.4285714285714285,-45.4976068480818
0,2,-42281.53398470394,1.0,-7.549210306078293e-05
3,5,-42240.80975535669,0.7142857142857143,-23.38489259067568
0,3,-42418.51311968407,0.7142857142857143,-22.59288806776961
4,1,-42089.36906347727,0.2857142857142857,-57.50990178125964
0,6,-42173.05636712699,0.8571428571428571,-11.421243177521267
3,6,-42055.1088464926,0.7142857142857143,-21.601912247530887
0,4,-42275.90309064434,0.8571428571428571,-11.174981064695686
4,2,-42326.35678757343,0.7142857142857143,-20.79145839859139
0,7,-42217.81955495756,0.5714285714285714,-34.747222565927075
3,7,-42141.53784264973,0.7142857142857143,-22.41096786240124
0,5,-42206.20846587751,0.8571428571428571,-12.079770832756052
4,3,-41993.358524852025,1.0,-0.0002512178781549
0,8,-42389.927177997655,0.8571428571428571,-11.935518542992591
3,8,-42351.14638217079,0.8571428571428571,-11.006856104898349
0,6,-42173.05636712699,0.8571428571428571,-11.421243177521267
4,4,-42147.1050491262,0.8571428571428571,-12.02729913940803
0,9,-42185.21159057028,0.7142857142857143,-25.308245745881287
3,9,-42149.62349816359,0.8571428571428571,-12.921296658451402
0,7,-42217.81955495756,0.5714285714285714,-34.747222565927075
3,0,-42272.34169771167,1.0,-0.0001136200216361
1,5,-42118.86555859685,0.8571428571428571,-10.59867900412777
0,1,-43072.56561125,0.7142857142857142,-7.481820578392366
4,5,-42313.09769572376,0.8571428571428571,-11.414543168840703
1,0,-43088.95262010879,1.0,-0.9752581946112352
10,0,-43247.91804889077,1.0,-1.505653064566168
15,0,-43198.924084418046,0.8571428571428571,-5.290252164405975
1,1,-43334.53434916673,0.5714285714285714,-10.606830220127147
10,1,-43396.585815610655,0.4285714285714285,-11.169896819777431
15,1,-43041.26963321207,0.5714285714285714,-9.4068484324115
1,2,-43402.44738215499,0.5714285714285714,-9.528044103068824
10,2,-43395.49855428818,0.5714285714285714,-7.013146255672792
15,2,-43131.06333143608,0.8571428571428571,-4.664670391907498
1,3,-43623.89698189177,1.0,-1.0939550750455969
10,3,-43522.12906072941,0.7142857142857142,-5.778301583807226
15,3,-43593.44110628631,0.8571428571428571,-2.952497112133606
10,4,-43536.00394621783,0.8571428571428571,-1.7497780307252344
